순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
108,포겟 미 낫-엄마에게 쓰는 편지,2021-06-03,"4,662,000",0.0%,"4,662,000",496,496,1,5,한국,한국,커넥트픽쳐스(주)
109,코스믹 씬,2021-04-22,"3,037,000",0.0%,"34,748,810",481,"5,463",8,13,미국,미국,(주)제이앤씨미디어그룹
110,미드웨이,2019-12-31,"3,133,500",0.0%,"8,231,956,030",460,"958,669",29,160,미국,미국,(주)누리픽쳐스
111,너의 이름은.,2017-01-04,"3,854,250",0.0%,"30,079,630,136",452,"3,738,434",5,39,일본,일본,메가박스중앙(주)플러스엠
112,#위왓치유,2021-06-03,"3,789,000",0.0%,"3,789,000",432,432,1,5,기타,기타,찬란
113,언어의 정원,2013-08-14,"3,542,970",0.0%,"508,594,393",418,"76,515",5,41,일본,일본,(주)팝엔터테인먼트
114,뻐꾸기도 밤에 우는가,1981-03-01,"2,756,000",0.0%,"2,756,000",407,407,19,118,한국,한국,(주)다자인소프트
115,25시,1978-07-07,"810,000",0.0%,"17,428,000",405,"8,632",1,12,프랑스,"프랑스,이탈리아,유고슬라비아",
116,리틀 포레스트,2018-02-28,"2,804,500",0.0%,"11,944,588,185",404,"1,508,661",13,109,한국,한국,메가박스중앙(주)플러스엠
117,오명,,"834,000",0.0%,"32,771,600",402,"6,865",1,16,미국,미국,
118,라라미에서 온 사나이,,"746,000",0.0%,"6,602,000",373,"3,446",1,16,미국,미국,
119,별의 목소리 X 초속5센티미터,2021-05-12,"2,800,880",0.0%,"2,800,880",346,346,5,40,일본,일본,(주)미디어캐슬
120,창공에 지다,,"685,000",0.0%,"791,000",340,393,1,16,미국,미국,
121,컴 애즈 유 아,2021-05-06,"2,621,300",0.0%,"2,621,300",332,332,19,172,미국,미국,찬란
122,쁘떼뜨,2021-03-10,"1,636,000",0.0%,"34,892,200",327,"4,242",2,2,독일,독일,예지림엔터테인먼트
123,스쿨 오브 락(樂),2021-05-13,"2,997,000",0.0%,"2,997,000",324,324,7,61,한국,한국,(주)드림팩트엔터테인먼트
124,써니,2021-05-26,"2,265,000",0.0%,"2,265,000",323,323,6,20,일본,일본,(주)콘텐츠판다
125,백경,2008-03-15,"640,000",0.0%,"13,642,000",320,"6,594",1,16,영국,영국,
126,레옹 모랭 신부,,"653,000",0.0%,"1,951,000",319,526,1,16,프랑스,"프랑스,이탈리아",
127,십자포화,,"618,000",0.0%,"4,292,000",309,"2,108",1,20,미국,미국,
128,독전,2018-05-22,"3,966,000",0.0%,"43,491,590,113",308,"5,064,292",3,28,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
129,애정이 꽃피는 나무,,"612,000",0.0%,"7,820,000",306,"3,498",1,8,미국,미국,
130,홈런: 야구소년,2021-05-13,"1,515,000",0.0%,"1,515,000",302,302,8,15,중국,중국,(주)엔케이컨텐츠
131,낫아웃,2021-06-03,"2,673,000",0.0%,"2,673,000",297,297,2,3,한국,한국,"케이티하이텔(주),판씨네마(주)"
132,오클라호마,,"607,000",0.0%,"2,614,000",296,"1,287",1,12,미국,미국,
133,그날이 오면,,"582,000",0.0%,"13,552,000",291,"6,301",1,9,미국,미국,
134,피델리오,2021-05-01,"7,661,550",0.0%,"7,661,550",287,287,10,76,이탈리아,이탈리아,일미디어
134,날씨의 아이,2019-10-30,"2,437,320",0.0%,"5,874,065,190",287,"716,548",5,34,일본,일본,"(주)미디어캐슬,워터홀컴퍼니(주)"
