●04주차 (2019년 01월 21일 ~ 2019년 01월 27일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
64,더 넌: 수녀의 저주,2018-11-03,"2,155,000",0.0%,"1,855,000",618.3%,"5,787,000",431,371,618.3%,"1,110",1,1,미국,미국,제인앤유
65,그린치,2018-12-19,"2,124,000",0.0%,"-5,790,500",-73.2%,"4,178,844,400",424,"-1,015",-70.5%,"551,743",2,8,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
66,2001 스페이스 오디세이,,"4,139,600",0.0%,"-1,534,900",-27.0%,"58,546,100",408,-222,-35.2%,"6,804",15,34,영국,"영국,미국",
67,산상수훈,2017-12-07,"3,372,000",0.0%,"614,350",22.3%,"374,891,050",404,79,24.3%,"50,711",4,6,한국,한국,"이언픽쳐스,(주)그란"
68,빌리어네어 보이즈클럽,2019-01-10,"3,299,900",0.0%,"-25,215,300",-88.4%,"148,640,200",394,"-2,961",-88.3%,"16,596",32,75,미국,미국,"(주)키다리이엔티,플레이리스트(주)"
69,시계태엽 오렌지,,"2,684,800",0.0%,"-5,340,200",-66.5%,"42,014,800",306,-530,-63.4%,"4,950",12,31,미국,미국,
70,엄마의 공책,2018-03-15,"2,336,000",0.0%,"2,054,000",728.4%,"70,511,500",292,245,521.3%,"10,479",1,1,한국,한국,아이 엠
71,스톤 부인의 로마의 봄,,"562,000",0.0%,"562,000",100.0%,"7,807,000",281,281,100.0%,"3,543",1,4,미국,"미국,영국",
72,007 살인번호,,"538,000",0.0%,"-1,103,000",-67.2%,"21,859,000",269,-544,-66.9%,"10,926",1,6,영국,영국,
73,범블비,2018-12-25,"2,085,900",0.0%,"-51,556,770",-96.1%,"13,082,603,207",268,"-6,626",-96.1%,"1,560,653",8,24,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
74,칠곡 가시나들,2019-02-27,"1,916,000",0.0%,"-554,000",-22.4%,"6,070,000",264,17,6.9%,730,3,4,한국,한국,"(주)인디플러그,(주)더 피플"
75,다잉,2018-12-27,"522,000",0.0%,"482,000",1205.0%,"2,260,900",256,250,4166.7%,596,1,9,스페인,스페인,(주)더블앤조이픽쳐스
75,샤이닝,,"2,137,200",0.0%,"-7,866,400",-78.6%,"56,648,600",256,-799,-75.7%,"6,801",14,36,미국,미국,
77,에로 킬러 에리카,2019-01-24,"1,183,000",0.0%,"1,183,000",100.0%,"1,183,000",244,244,100.0%,244,20,20,일본,일본,(유)조이앤시네마
77,필로우 토크,,"488,000",0.0%,"488,000",100.0%,"10,626,000",244,244,100.0%,"5,314",1,6,미국,미국,
79,선종 무문관,2018-12-13,"1,578,000",0.0%,"-2,847,000",-64.3%,"23,668,800",241,-260,-51.9%,"2,768",2,18,한국,한국,(주)드림팩트엔터테인먼트
80,리틀 포레스트,2018-02-28,"1,745,000",0.0%,"1,745,000",100.0%,"11,930,947,185",240,240,100.0%,"1,506,509",4,4,한국,한국,메가박스중앙(주)플러스엠
81,국가부도의 날,2018-11-28,"1,110,000",0.0%,"-9,558,650",-89.6%,"30,889,622,337",231,"-1,760",-88.4%,"3,754,730",5,12,한국,한국,(주)씨제이이엔엠
82,라 트라비아타,2017-01-22,"3,754,000",0.0%,"399,500",11.9%,"48,965,000",230,27,13.3%,"2,262",6,12,독일,독일,(주)케빈앤컴퍼니
83,대장 부리바,1973-06-29,"400,000",0.0%,"400,000",100.0%,"27,310,000",200,200,100.0%,"13,120",1,3,미국,미국,
83,사랑은 비가 갠 뒤처럼,2019-02-07,"2,000,000",0.0%,"2,000,000",100.0%,"2,000,000",200,200,100.0%,200,1,1,일본,일본,(주)디스테이션
85,스타 이즈 본,2018-10-09,"1,505,000",0.0%,"-4,935,600",-76.6%,"4,208,776,400",171,-674,-79.8%,"485,251",1,7,미국,미국,워너브러더스 코리아(주)
86,사랑의 묘약,2018-07-07,"2,719,500",0.0%,"-367,000",-11.9%,"54,518,000",170,-27,-13.7%,"2,631",6,12,미국,미국,(주) 인스터 글로벌
87,1월 단편 상상극장-더 비기닝,,"1,224,000",0.0%,"24,000",2.0%,"3,024,000",153,3,2.0%,378,1,2,한국,한국,
87,슈퍼소닉,2016-11-24,"1,319,000",0.0%,"-2,621,700",-66.5%,"142,411,928",153,-283,-64.9%,"16,925",5,15,영국,영국,주식회사 씨네룩스
89,흑기사,1973-10-24,"300,000",0.0%,"300,000",100.0%,"21,837,000",150,150,100.0%,"10,428",1,8,미국,미국,
90,콜드 워,2019-02-07,"1,639,000",0.0%,"1,639,000",100.0%,"1,639,000",149,149,100.0%,149,1,1,폴란드,폴란드,아이 엠
91,돌아오지 않는 강,1971-04-27,"294,000",0.0%,"294,000",100.0%,"22,449,858",147,147,100.0%,"12,243",1,8,미국,미국,
92,1900년,2008-05-09,"940,000",0.0%,"518,000",122.7%,"2,245,000",144,59,69.4%,411,1,2,이탈리아,이탈리아,
93,포켓에 가득찬 행복,,"286,000",0.0%,"-198,000",-40.9%,"4,568,000",143,-94,-39.7%,"1,797",1,3,미국,미국,
94,도둑들,2012-07-25,"1,215,000",0.0%,"1,215,000",100.0%,"93,668,465,500",135,135,100.0%,"12,983,976",1,1,한국,"한국,홍콩",(주)쇼박스
95,창간호,2019-01-17,"918,000",0.0%,"-1,571,650",-63.1%,"6,746,650",134,-149,-52.7%,788,7,38,한국,한국,(주)트리플픽쳐스
95,애정의 고빗길,,"268,000",0.0%,"268,000",100.0%,"268,000",134,134,100.0%,134,1,6,미국,미국,
97,어른이 되면,2018-12-13,"894,000",0.0%,"-944,500",-51.4%,"38,288,400",133,-137,-50.7%,"5,274",6,30,한국,한국,(주)시네마달
98,불한당: 나쁜 놈들의 세상,2017-05-17,"1,290,000",0.0%,"1,290,000",100.0%,"7,680,235,125",129,129,100.0%,"954,573",1,1,한국,한국,(주)씨제이이엔엠
99,"단, 비 : 제20회 부산독립영화제 씨네보배 배급선정작 순회상영회",,"833,000",0.0%,"365,000",78.0%,"1,301,000",121,49,68.1%,193,1,2,한국,한국,
100,우묵배미의 사랑,1990-03-31,"238,000",0.0%,"80,000",50.6%,"9,619,650",119,40,50.6%,"2,610",1,7,한국,한국,(주)드림팩트엔터테인먼트
101,폴란드로 간 아이들,2018-10-31,"685,500",0.0%,"-236,500",-25.7%,"376,510,800",103,-51,-33.1%,"49,147",2,6,한국,한국,커넥트픽쳐스(주)
101,베니스에서의 죽음,,"721,000",0.0%,"721,000",100.0%,"5,910,000",103,103,100.0%,"1,004",1,1,이탈리아,"이탈리아,프랑스",
103,라라랜드,2016-12-07,"738,000",0.0%,"-2,212,500",-75.0%,"30,023,301,494",88,-257,-74.5%,"3,599,157",5,9,미국,미국,판씨네마(주)
104,오다기리 죠의 도쿄타워,2007-10-25,"670,000",0.0%,"-945,000",-58.5%,"363,475,000",82,-103,-55.7%,"56,047",2,3,일본,일본,"(주)엔케이컨텐츠,스폰지"
105,도둑맞은 카라바지오,,"563,000",0.0%,"563,000",100.0%,"563,000",79,79,100.0%,79,1,1,이탈리아,"이탈리아,프랑스",
106,일 포스토,,"517,000",0.0%,"517,000",100.0%,"903,000",78,78,100.0%,158,1,1,이탈리아,이탈리아,
107,스잔나,1981-07-17,"134,000",0.0%,"22,000",19.6%,"6,172,000",67,11,19.6%,"3,046",1,8,홍콩,홍콩,
108,어느 가족,2018-07-26,"576,000",0.0%,"-688,500",-54.4%,"1,414,529,400",63,-68,-51.9%,"171,043",2,2,일본,일본,(주)티캐스트
108,비엔나 호텔의 야간배달부,1991-01-19,"414,000",0.0%,"414,000",100.0%,"414,000",63,63,100.0%,63,1,1,미국,"미국,이탈리아",
110,부탁 하나만 들어줘,2018-12-12,"481,000",0.0%,"-1,226,300",-71.8%,"1,028,779,738",62,-144,-69.9%,"119,007",1,3,미국,미국,(주)팝엔터테인먼트
111,선생님의 일기,2016-11-02,"610,000",0.0%,"610,000",100.0%,"500,716,200",61,61,100.0%,"71,541",1,1,태국,태국,"(주)드림팩트엔터테인먼트,(주)미로스페이스"
112,금지된 장난,1992-09-26,"120,000",0.0%,"120,000",100.0%,"6,248,000",60,60,100.0%,"2,670",1,15,프랑스,프랑스,
