●40주차 (2020년 09월 28일 ~ 2020년 10월 04일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
105,레토,2019-01-03,"484,000",0.0%,"184,000",61.3%,"199,218,672",42,12,40.0%,"22,617",1,4,러시아,"러시아,프랑스","(주)엣나인필름,플레이리스트(주)"
107,라라랜드,2016-12-07,"388,000",0.0%,"324,000",506.3%,"30,842,697,148",41,33,412.5%,"3,738,500",1,5,미국,미국,판씨네마(주)
107,너와 파도를 탈 수 있다면,2020-07-08,"648,000",0.0%,"621,000",2300.0%,"90,510,980",41,38,1266.7%,"10,409",1,2,일본,일본,메가박스중앙(주)플러스엠
109,좀비캠프,2020-09-25,"200,000",0.0%,"-300,000",-60.0%,"700,000",40,-60,-60.0%,140,1,2,미국,미국,(주)스톰픽쳐스코리아
110,수치의 거리,,"247,000",0.0%,"247,000",100.0%,"1,279,000",39,39,100.0%,201,1,1,일본,일본,
111,살인에 관한 짧은 필름,1997-07-05,"352,000",0.0%,"-228,000",-39.3%,"3,748,000",38,-28,-42.4%,456,1,4,폴란드,폴란드,(주)영화사 안다미로
111,두 여인,,"298,000",0.0%,"298,000",100.0%,"17,564,000",38,38,100.0%,"7,943",1,2,이탈리아,"이탈리아,프랑스",
111,사랑에 관한 짧은 필름,1995-10-14,"361,000",0.0%,"-88,000",-19.6%,"4,901,000",38,-14,-26.9%,650,2,4,폴란드,폴란드,(주)영화사 안다미로
111,러빙,2017-03-01,"180,500",0.0%,"180,500",100.0%,"81,390,100",38,38,100.0%,"10,642",1,3,미국,"미국,영국",유니버설픽쳐스인터내셔널 코리아(유)
115,아라비아의 로렌스,1998-10-24,"74,000",0.0%,"74,000",100.0%,"25,651,500",37,37,100.0%,"10,887",1,4,영국,영국,
115,짝코,1983-10-23,"74,000",0.0%,"74,000",100.0%,"109,000",37,37,100.0%,44,1,6,한국,한국,
117,여름날,2020-08-20,"211,000",0.0%,"66,000",45.5%,"5,529,480",36,17,89.5%,703,2,9,한국,한국,영화배급협동조합 씨네소파
118,보리밭을 흔드는 바람,2006-11-02,"272,000",0.0%,"272,000",100.0%,"94,955,620",34,34,100.0%,"14,472",1,1,영국,"영국,독일,아일랜드,이탈리아","(주)영화사 진진,(주)동숭아트센터"
119,아무도 없다,2020-09-09,"160,000",0.0%,"-249,500",-60.9%,"38,821,450",32,-43,-57.3%,"4,462",1,2,미국,미국,판씨네마(주)
119,지니어스 독,2020-09-16,"275,000",0.0%,"-3,484,700",-92.7%,"29,706,400",32,-437,-93.2%,"3,651",12,17,미국,미국,(주)키다리이엔티
121,대해적,,"62,000",0.0%,"62,000",100.0%,"11,326,000",31,31,100.0%,"5,358",1,3,미국,미국,
122,쉘부르의 우산,1992-09-26,"300,000",0.0%,"269,000",867.7%,"120,855,168",30,25,500.0%,"16,596",1,1,프랑스,"프랑스,독일",(주)에스와이코마드
122,서스피션,,"298,000",0.0%,"298,000",100.0%,"1,751,000",30,30,100.0%,247,1,1,미국,미국,(주)영화사 안다미로
122,비긴 어게인,2014-08-13,"300,000",0.0%,"300,000",100.0%,"27,306,998,321",30,30,100.0%,"3,463,510",1,1,미국,미국,판씨네마(주)
122,싱 스트리트,2016-05-19,"300,000",0.0%,"300,000",100.0%,"4,565,235,272",30,30,100.0%,"574,903",1,1,아일랜드,"아일랜드,영국,미국",(주)이수C&E
122,본 투 비 블루,2016-06-09,"300,000",0.0%,"300,000",100.0%,"769,671,624",30,30,100.0%,"94,417",1,1,캐나다,"캐나다,영국,미국",그린나래미디어(주)
127,에덴의 동쪽,1973-02-22,"58,000",0.0%,"58,000",100.0%,"22,399,500",29,29,100.0%,"9,808",1,6,미국,미국,
127,고스트 스토리,2017-12-28,"172,000",0.0%,"172,000",100.0%,"73,445,458",29,29,100.0%,"8,637",1,3,미국,미국,"(주)리틀빅픽쳐스,주식회사 더쿱"
129,게이샤,,"180,000",0.0%,"180,000",100.0%,"2,254,000",28,28,100.0%,818,1,1,일본,일본,
129,마스터,2013-07-11,"224,000",0.0%,"224,000",100.0%,"283,192,800",28,28,100.0%,"36,956",1,4,미국,미국,(주)영화사 진진
129,뉴 뮤턴트,2020-09-10,"174,000",0.0%,"-6,257,470",-97.3%,"546,115,880",28,-738,-96.3%,"61,897",3,5,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
129,5시부터 7시까지의 클레오,,"330,000",0.0%,"330,000",100.0%,"9,465,000",28,28,100.0%,"1,319",1,5,프랑스,"프랑스,이탈리아",(주)영화사 안다미로
133,하얀리본,2010-07-01,"214,000",0.0%,"214,000",100.0%,"92,855,700",27,27,100.0%,"12,705",1,1,독일,독일,"(주)영화사 안다미로,(주)영화사 진진"
133,입맞춤,,"180,000",0.0%,"180,000",100.0%,"484,000",27,27,100.0%,101,1,1,일본,일본,
133,뮤지컬 남극 탐험가는 나를 좋아해,2020-09-16,"486,000",0.0%,"-1,007,500",-67.5%,"3,940,000",27,-56,-67.5%,219,11,21,미국,미국,C 무비
136,에메랄드,,"48,000",0.0%,"48,000",100.0%,"5,520,000",24,24,100.0%,"2,245",1,3,미국,미국,
137,비리디아나,,"46,000",0.0%,"46,000",100.0%,"1,836,000",23,23,100.0%,913,1,3,,,
137,천국보다 낯선,1995-11-11,"181,000",0.0%,"181,000",100.0%,"31,758,600",23,23,100.0%,"3,631",1,1,미국,미국,(주)영화사 안다미로
139,어메이징 그레이스,2019-11-28,"110,000",0.0%,"110,000",100.0%,"44,194,700",22,22,100.0%,"5,693",1,1,미국,미국,(주)영화사 진진
139,십계 10편 : 네 이웃을 소유를 탐내지 말라,,"103,250",0.0%,"-264,750",-71.9%,"2,339,000",22,-72,-76.6%,608,1,3,폴란드,폴란드,
139,십계 9편 : 네 이웃의 아내를 탐내지 말라,,"103,250",0.0%,"-264,750",-71.9%,"2,359,000",22,-72,-76.6%,612,1,3,폴란드,폴란드,
139,렛 미 인,2008-11-13,"176,500",0.0%,"176,500",100.0%,"682,292,980",22,22,100.0%,"100,787",1,2,스웨덴,스웨덴,"씨네그루(주)다우기술,(주)영화사구안"
